,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2022-01-01 00:00:00,10359.0485699534,0,10118.2489924516,0,1184.38993687705,-9.04867442502038,0,-4.52263860116549,0,-13.0992695766103,1.0,01/01/2022,1.0
2.0,2022-01-01 01:00:00,9438.38079147145,0,11284.4058741436,0,1366.79560804367,-8.79326829205609,0,-4.48871032958885,0,-13.030019125315,2.0,01/01/2022,2.0
3.0,2022-01-01 02:00:00,9410.61801633514,0,13651.819904156,0,1279.41301053017,-8.97570124417344,0,-4.59728079863408,0,-12.734793517161,3.0,01/01/2022,3.0
4.0,2022-01-01 03:00:00,9503.41020323867,0,14028.3686491359,0,1029.67335124038,-8.64732193036222,0,-4.45478205801222,0,-12.99357151937,4.0,01/01/2022,4.0
5.0,2022-01-01 04:00:00,10028.5896448088,0,12978.8866005861,0,826.736192591398,-8.64732193036222,0,-4.62442341589539,0,-13.2559942821736,5.0,01/01/2022,5.0
6.0,2022-01-01 05:00:00,9181.65952965708,0,11034.7685922364,0,915.206793907184,-9.04867442502038,0,-4.44121074938156,0,-12.6254506993262,6.0,01/01/2022,6.0
7.0,2022-01-01 06:00:00,8290.68003606206,0,7585.77499182514,0,721.370970435705,-8.35542920697446,0,-4.57353100853044,0,-13.1612305067167,7.0,01/01/2022,7.0
8.0,2022-01-01 07:00:00,8463.1635891877,0,6072.07314995669,0,874.327190369808,-8.39191579739793,0,-1.60480724557485,0,18.4388438475436,8.0,01/01/2022,8.0
9.0,2022-01-01 08:00:00,9080.75412718994,0,6069.47987037428,0,794.536169948621,166.415338921443,0,31.8688254919335,0,318.934775821171,9.0,01/01/2022,9.0
10.0,2022-01-01 09:00:00,12159.0424965607,0,6619.50537057772,0,658.975786089184,345.600984491101,0,97.1468200053799,0,783.787542042897,10.0,01/01/2022,10.0
11.0,2022-01-01 10:00:00,13250.5959225071,0,5054.46114259077,0,926.166292881842,1266.8873926837,0,165.539429849561,0,1662.98762692845,11.0,01/01/2022,11.0
12.0,2022-01-01 11:00:00,13808.0276523994,0,5395.09069054752,0,1193.94970062293,1687.90615958011,0,226.539069317194,0,2292.28105689195,12.0,01/01/2022,12.0
13.0,2022-01-01 12:00:00,15186.8430642597,0,5595.38741618925,0,1215.18411191014,2045.43825913969,0,193.760966147007,0,2551.60941795077,13.0,01/01/2022,13.0
14.0,2022-01-01 13:00:00,16805.7220728525,0,4897.9089488524,0,1237.29259366772,1969.47317787802,0,166.346922713085,0,2530.8014797168,14.0,01/01/2022,14.0
15.0,2022-01-01 14:00:00,18069.2007878129,0,3180.1796984342,0,1229.65211752811,1856.98501960247,0,149.179217295308,0,2364.75347655286,15.0,01/01/2022,15.0
16.0,2022-01-01 15:00:00,17930.9485191419,0,2073.00855320894,0,961.202460267643,1301.25776086261,0,62.428019701009,0,1953.9342861445,16.0,01/01/2022,16.0
17.0,2022-01-01 16:00:00,18665.4703168061,0,2491.84595383534,0,829.278943050661,281.712964659606,0,2.81604654086073,0,584.087464309993,17.0,01/01/2022,17.0
18.0,2022-01-01 17:00:00,19568.6380196904,0,1703.39796851539,0,886.344131242189,-9.15813419629079,0,-4.63460189736838,0,-12.122473737286,18.0,01/01/2022,18.0
19.0,2022-01-01 18:00:00,20861.8785633129,0,1157.64910481628,0,1389.12413551407,-8.50137556866834,0,-4.43442509506623,0,-13.5001932420046,19.0,01/01/2022,19.0
