,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2021-01-01 00:00:00,5588.6774203733,0,1592.4305882458,0,409.884549146523,-18.7463657945521,0,3.83721627151312,0,-10.4448778829014,1.0,01/01/2021,1.0
2.0,2021-01-01 01:00:00,6410.68825117741,0,1914.76770695538,0,432.527758238681,-13.9762981623505,0,3.81576932449022,0,-10.874515099654,2.0,01/01/2021,2.0
3.0,2021-01-01 02:00:00,7304.83719383339,0,2424.86515606925,0,444.275378394419,-18.8894678235181,0,3.80683309656402,0,-11.065866128964,3.0,01/01/2021,3.0
4.0,2021-01-01 03:00:00,8364.95919089031,0,3545.46801871759,0,448.68895490349,-13.6423934280964,0,3.79789686863781,0,-10.6290081186525,4.0,01/01/2021,4.0
5.0,2021-01-01 04:00:00,8148.65059261745,0,4559.63972061122,0,397.479412937292,-13.6423934280964,0,3.76215195693298,0,-11.4774513618194,5.0,01/01/2021,5.0
6.0,2021-01-01 05:00:00,10973.939295062,0,6086.02339799132,0,322.276014319052,-19.4141752630603,0,3.7889606407116,0,-11.008099780493,6.0,01/01/2021,6.0
7.0,2021-01-01 06:00:00,12375.1444813341,0,7446.96140585385,0,139.448196344932,-14.2625022202826,0,3.87474842880319,0,-10.5929041508582,7.0,01/01/2021,7.0
8.0,2021-01-01 07:00:00,11836.6084097279,0,8474.84549089107,0,176.986883698926,3.91145545840527,0,31.2053079183135,0,13.1382338803589,8.0,01/01/2021,8.0
9.0,2021-01-01 08:00:00,12160.7253623316,0,9777.28160244472,0,180.504594585112,231.634484219707,0,166.095881218817,0,243.322690949927,9.0,01/01/2021,9.0
10.0,2021-01-01 09:00:00,10519.5953855435,0,10611.6705052489,0,275.762232834882,600.21761015992,0,334.661735836438,0,539.25969416654,10.0,01/01/2021,10.0
11.0,2021-01-01 10:00:00,8110.25186851569,0,11096.874212067,0,210.67362283954,1208.83053935252,0,282.752975058689,0,641.798573099234,11.0,01/01/2021,11.0
12.0,2021-01-01 11:00:00,7282.25538805214,0,9331.35682491174,0,237.9495804586,995.70391754575,0,253.692361842665,0,798.890547369169,12.0,01/01/2021,12.0
13.0,2021-01-01 12:00:00,5613.26363725402,0,7353.29749903073,0,213.018763430331,1112.04586709515,0,195.844583985159,0,754.670407614667,13.0,01/01/2021,13.0
14.0,2021-01-01 13:00:00,5092.36040686812,0,6232.47036843377,0,137.250996866177,712.791206279877,0,138.152296493569,0,520.427864565015,14.0,01/01/2021,14.0
15.0,2021-01-01 14:00:00,4928.18488627428,0,4953.19793214372,0,101.153365529422,432.692834917002,0,60.1801333462458,0,298.680904768983,15.0,01/01/2021,15.0
16.0,2021-01-01 15:00:00,4869.74664845093,0,3252.59009697188,0,48.7794722184974,254.721611559562,0,24.5513926044601,0,123.388920333923,16.0,01/01/2021,16.0
17.0,2021-01-01 16:00:00,4500.93270751088,0,2175.59133118903,0,32.0073335539852,15.6458218336211,0,-1.13132645545776,0,15.1817184575183,17.0,01/01/2021,17.0
18.0,2021-01-01 17:00:00,3837.33241675304,0,987.483816009015,0,25.023965135847,-16.4090326547733,0,-2.38776010188241,0,-12.5280768246346,18.0,01/01/2021,18.0
19.0,2021-01-01 18:00:00,2825.83347931447,0,842.334395840666,0,16.8789850232049,-15.455019128333,0,-2.2966105770351,0,-11.7337895331592,19.0,01/01/2021,19.0
20.0,2021-01-01 19:00:00,3016.21345694274,0,760.556690293881,0,24.1637149658606,-19.7003793209924,0,-2.33592997991041,0,-11.8998677850131,20.0,01/01/2021,20.0
