,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2021-01-01 00:00:00,9623.10284640585,0,3500.18167322655,0,742.455028611525,-42.1978887542575,0,5.996937062891,0,-20.0944996221643,1.0,01/01/2021,1.0
2.0,2021-01-01 01:00:00,11038.5172943485,0,4208.6825547317,0,783.470393765886,-31.4605124809095,0,5.9634190168944,0,-20.9210621714341,2.0,01/01/2021,2.0
3.0,2021-01-01 02:00:00,12578.1458303983,0,5329.88291104662,0,804.749750787289,-42.5200100424579,0,5.94945316439582,0,-21.2891950715291,3.0,01/01/2021,3.0
4.0,2021-01-01 03:00:00,14403.5621570279,0,7792.98154263452,0,812.744397280172,-30.7088961417752,0,5.93548731189724,0,-20.4487407147085,4.0,01/01/2021,4.0
5.0,2021-01-01 04:00:00,14031.101960962,0,10022.1431969478,0,719.98466280161,-30.7088961417752,0,5.87962390190291,0,-22.081028101922,5.0,01/01/2021,5.0
6.0,2021-01-01 05:00:00,18895.9459498634,0,13377.1529620913,0,583.76303261562,-43.7011214325262,0,5.92152145939866,0,-21.178060611123,6.0,01/01/2021,6.0
7.0,2021-01-01 06:00:00,21308.6709297055,0,16368.5111466671,0,252.59311389679,-32.1047550573104,0,6.05559364338504,0,-20.3792816769547,7.0,01/01/2021,7.0
8.0,2021-01-01 07:00:00,20381.3695999359,0,18627.8127848075,0,320.589790647553,8.80464854414533,0,48.7687569250474,0,25.2761438385952,8.0,01/01/2021,8.0
9.0,2021-01-01 08:00:00,20939.4642141998,0,21490.5830944574,0,326.961687666089,521.406991833777,0,259.580507220639,0,468.119184941501,9.0,01/01/2021,9.0
10.0,2021-01-01 09:00:00,18113.6144892936,0,23324.5799841781,0,499.509085901676,1351.08405647537,0,523.021176071886,0,1037.46102560156,10.0,01/01/2021,10.0
11.0,2021-01-01 10:00:00,13964.9834782857,0,24391.0635941527,0,381.609140912287,2721.06589519184,0,441.896332078124,0,1234.73163872603,11.0,01/01/2021,11.0
12.0,2021-01-01 11:00:00,12539.2623838965,0,20510.4350456323,0,431.016155489034,2241.31992329865,0,396.479379752737,0,1536.95485789644,12.0,01/01/2021,12.0
13.0,2021-01-01 12:00:00,9665.43767374527,0,16162.6367477922,0,385.857072257977,2503.20453060561,0,306.072830188418,0,1451.88142845563,13.0,01/01/2021,13.0
14.0,2021-01-01 13:00:00,8768.49820453294,0,13699.0451725436,0,248.613159528515,1604.48613652639,0,215.909286457574,0,1001.2311915092,14.0,01/01/2021,14.0
15.0,2021-01-01 14:00:00,8485.80557429141,0,10887.188900994,0,183.22677703924,973.987401755394,0,94.0516370664488,0,574.62072752935,15.0,01/01/2021,15.0
16.0,2021-01-01 15:00:00,8385.18119924934,0,7149.2323319915,0,88.3579644976887,573.375892996781,0,38.3697831546035,0,237.383207427268,16.0,01/01/2021,16.0
17.0,2021-01-01 16:00:00,7750.12316710812,0,4781.97603215278,0,57.9773153174106,35.2185941765813,0,-1.76807692632045,0,29.2075253754583,17.0,01/01/2021,17.0
18.0,2021-01-01 17:00:00,6607.47467149304,0,2170.5013586872,0,45.3278094760959,-36.936574380317,0,-3.73167578762104,0,-24.1022861005566,18.0,01/01/2021,18.0
19.0,2021-01-01 18:00:00,4865.7820362163,0,1851.46117941485,0,30.5741881084111,-34.7890991256474,0,-3.58922409213551,0,-22.5741872699737,19.0,01/01/2021,19.0
20.0,2021-01-01 19:00:00,5193.5959297029,0,1671.71279455829,0,43.7695729777935,-44.3453640089271,0,-3.65067384312927,0,-22.893698843641,20.0,01/01/2021,20.0
21.0,2021-01-01 20:00:00,7265.30706755638,0,1609.91878566048,0,41.4520683768151,-35.3259679393148,0,-3.6562601841287,0,-23.0187251115978,21.0,01/01/2021,21.0
22.0,2021-01-01 21:00:00,9151.60939352805,0,2124.58717771698,0,158.031978625605,-45.0969803480614,0,-3.7596074926182,0,-22.7408889605828,22.0,01/01/2021,22.0
23.0,2021-01-01 22:00:00,10101.3605307649,0,2435.17689423408,0,170.631859100732,-33.0711189219117,0,-3.69815774162444,0,-21.9004346037622,23.0,01/01/2021,23.0
24.0,2021-01-01 23:00:00,9128.97751780565,0,3719.85849460169,0,340.827014979009,-33.2858664473787,0,-3.673019207127,0,-22.8034020945612,24.0,01/01/2021,24.0
25.0,2021-01-02 00:00:00,8805.53722044938,0,5667.19721602721,0,170.482983002168,-42.305262516991,0,-3.74005529912019,0,-22.2060543698788,25.0,01/02/2021,1.0
26.0,2021-01-02 01:00:00,9114.32893927319,0,9559.9733047583,0,468.612332913044,-31.353138718176,0,-3.68977823012529,0,-22.3935937718139,26.0,01/02/2021,2.0
27.0,2021-01-02 02:00:00,8633.58562743015,0,13657.9900076576,0,913.662541960037,-31.567886243643,0,-3.58084458063636,0,-22.4838905208938,27.0,01/02/2021,3.0
28.0,2021-01-02 03:00:00,7317.35088250458,0,16392.4189142122,0,673.073804144117,-42.6273838051914,0,-3.76240066311792,0,-21.9837854490667,28.0,01/02/2021,4.0
29.0,2021-01-02 04:00:00,6438.2461862907,0,20016.6815488951,0,392.69544771868,-31.353138718176,0,-3.70653725312359,0,-22.1991084661034,29.0,01/02/2021,5.0
30.0,2021-01-02 05:00:00,5209.20234557793,0,24129.2048795243,0,531.075781333847,-41.3388986523897,0,-3.69257140062501,0,-20.9835753054125,30.0,01/02/2021,6.0
31.0,2021-01-02 06:00:00,3346.18496624405,0,27410.7308289586,0,418.624701551897,-31.4605124809095,0,-3.68139871862615,0,-21.1711147073477,31.0,01/02/2021,7.0
32.0,2021-01-02 07:00:00,2984.47867125152,0,26970.2152475795,0,536.087943318832,75.9132502525701,0,8.31247540715585,0,47.7530884557137,32.0,01/02/2021,8.0
33.0,2021-01-02 08:00:00,2868.58431080597,0,27970.2218838794,0,732.123027371188,2367.16197322229,0,185.491659715663,0,734.244542191278,33.0,01/02/2021,9.0
34.0,2021-01-02 09:00:00,2749.54729395547,0,31219.6712851053,0,692.467397250378,6238.8451098661,0,588.230534558264,0,2371.12317180029,34.0,01/02/2021,10.0
35.0,2021-01-02 10:00:00,2837.08650265647,0,32543.8940091152,0,501.012734497172,7173.21159317284,0,853.738149579301,0,4540.36365036925,35.0,01/02/2021,11.0
36.0,2021-01-02 11:00:00,2649.40579559022,0,30761.2688908942,0,251.392180035041,9062.34557470568,0,827.800768318935,0,6292.70403843635,36.0,01/02/2021,12.0
37.0,2021-01-02 12:00:00,2256.57770297523,0,27159.7520851275,0,158.533194824103,9565.71377440023,0,915.861054663492,0,6400.08771080367,37.0,01/02/2021,13.0
38.0,2021-01-02 13:00:00,1517.6972273093,0,21464.6331317465,0,91.8168525209905,8765.88661579854,0,905.855917933508,0,5684.61794651723,38.0,01/02/2021,14.0
39.0,2021-01-02 14:00:00,1045.54674551056,0,15727.543546681,0,106.456335546443,6936.88194139645,0,792.335882484036,0,3802.43777917703,39.0,01/02/2021,15.0
40.0,2021-01-02 15:00:00,977.841102609653,0,12931.9192056739,0,142.231262031354,3056.3941562085,0,321.130812352388,0,1634.10721400263,40.0,01/02/2021,16.0
41.0,2021-01-02 16:00:00,1392.14929133264,0,7962.5541619233,0,80.6263324456022,937.587696188744,0,40.2440005599131,0,333.361705795421,41.0,01/02/2021,17.0
42.0,2021-01-02 17:00:00,1162.13375692697,0,6002.22285401158,0,34.8866324301461,-43.3790001443258,0,-3.70653725312359,0,-21.7476247207039,42.0,01/02/2021,18.0
43.0,2021-01-02 18:00:00,1080.91548308583,0,3722.11195133643,0,35.5813875567777,-28.883542175306,0,-3.49146312464543,0,-21.7267870093778,43.0,01/02/2021,19.0
44.0,2021-01-02 19:00:00,1073.61692085566,0,1777.44920978341,0,-3.09662285012961,-30.9236436672421,0,-3.63670799063068,0,-20.8238195185788,44.0,01/02/2021,20.0
45.0,2021-01-02 20:00:00,1341.1543478546,0,1664.213008863,0,177.212182657257,-41.3388986523897,0,-3.52777434114175,0,-20.5598751751145,45.0,01/02/2021,21.0
46.0,2021-01-02 21:00:00,1810.92211031355,0,4354.52345778281,0,363.074066641078,-31.4605124809095,0,-3.6059831151338,0,-21.12249338092,46.0,01/02/2021,22.0
47.0,2021-01-02 22:00:00,2141.50660768363,0,5532.87006848014,0,562.285174129464,-41.6610199405901,0,-3.6059831151338,0,-20.4695784260346,47.0,01/02/2021,23.0
48.0,2021-01-02 23:00:00,2006.55445052536,0,7303.59411832082,0,442.643378786876,-29.2056634635065,0,-3.61994896763239,0,-19.7610962409462,48.0,01/02/2021,24.0
49.0,2021-01-03 00:00:00,2587.71632112199,0,10311.2898642234,0,366.766193885463,1472.63115588967,0,-3.61994896763239,0,-21.4975721847904,49.0,01/03/2021,1.0
50.0,2021-01-03 01:00:00,2920.2323251994,0,13962.0306155394,0,345.283372862689,-41.2315248896562,0,-3.85736846010828,0,-21.6920574905009,50.0,01/03/2021,2.0
51.0,2021-01-03 02:00:00,2909.77131653653,0,17474.6415110685,0,784.487713772739,-30.2794010908413,0,-3.55570604613891,0,-21.1155474771447,51.0,01/03/2021,3.0
52.0,2021-01-03 03:00:00,1991.61297958236,0,16286.1543450649,0,885.778048699014,-40.5872823132553,0,-3.61994896763239,0,-21.9351641226391,52.0,01/03/2021,4.0
53.0,2021-01-03 04:00:00,1644.40485891147,0,11687.7998265315,0,814.997388905106,-29.6351585144404,0,-3.673019207127,0,-21.8518132773346,53.0,01/03/2021,5.0
54.0,2021-01-03 05:00:00,1771.72598137355,0,13800.7324076985,0,600.298204629453,-30.3867748535747,0,-3.60877628563352,0,-20.7196309619482,54.0,01/03/2021,6.0
55.0,2021-01-03 06:00:00,2330.87738311879,0,17699.6702921886,0,543.000756828817,-41.3388986523897,0,-3.63112164963125,0,-21.5323017036672,55.0,01/03/2021,7.0
