,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2021-01-01 00:00:00,10675.5616531969,0,3997.85586930848,0,829.212544993699,-48.3156773524415,0,6.5603424867287,0,-22.6117922497981,1.0,01/01/2021,1.0
2.0,2021-01-01 01:00:00,12245.777044741,0,4807.09512371683,0,875.020646512113,-36.0216118683597,0,6.52367545839114,0,-23.5419005379854,2.0,01/01/2021,2.0
3.0,2021-01-01 02:00:00,13953.7915616761,0,6087.71362973637,0,898.786543585429,-48.684499316964,0,6.50839752991716,0,-23.9561504478504,3.0,01/01/2021,3.0
4.0,2021-01-01 03:00:00,15978.8498873247,0,8901.02854887372,0,907.715382248002,-35.161027284474,0,6.49311960144317,0,-23.0104100875927,4.0,01/01/2021,4.0
5.0,2021-01-01 04:00:00,15565.6544918345,0,11447.1441038182,0,804.11646711404,-35.161027284474,0,6.43200788754724,0,-24.8471785558618,5.0,01/01/2021,5.0
6.0,2021-01-01 05:00:00,20962.5563815508,0,15279.1867614218,0,651.977037388637,-50.036846520213,0,6.47784167296919,0,-23.8310938712874,6.0,01/01/2021,6.0
7.0,2021-01-01 06:00:00,23639.1560901502,0,18695.8719486184,0,282.109179345101,-36.7592557974046,0,6.62450978631944,0,-22.9322497272408,7.0,01/01/2021,7.0
8.0,2021-01-01 07:00:00,22610.4377365118,0,21276.4129484378,0,358.051418547195,10.0811336969471,0,53.3505262311519,0,28.4425551320481,8.0,01/01/2021,8.0
9.0,2021-01-01 08:00:00,23229.5700016437,0,24546.226961939,0,365.167885861126,596.999819907013,0,283.967800960245,0,526.761748591477,9.0,01/01/2021,9.0
10.0,2021-01-01 09:00:00,20094.6629511415,0,26640.9911525944,0,557.87783017997,1546.96225986201,0,572.158421350698,0,1167.42659032374,10.0,01/01/2021,10.0
11.0,2021-01-01 10:00:00,15492.304767791,0,27859.1129981751,0,426.201015192133,3115.56207497601,0,483.411990431021,0,1389.40982975911,11.0,01/01/2021,11.0
12.0,2021-01-01 11:00:00,13910.6555132473,0,23426.7163206029,0,481.381348975234,2566.26322914724,0,433.728167033625,0,1729.49337368617,12.0,01/01/2021,12.0
13.0,2021-01-01 12:00:00,10722.5265528299,0,18460.7252474691,0,430.945326734754,2866.11548630399,0,334.828024850137,0,1633.76256432719,13.0,01/01/2021,13.0
14.0,2021-01-01 13:00:00,9727.49067348897,0,15646.8472953549,0,277.664158483907,1837.10220528634,0,236.193718622097,0,1126.65814636421,14.0,01/01/2021,14.0
15.0,2021-01-01 14:00:00,9413.88053638284,0,12435.1865450419,0,204.637232215714,1115.19468006106,0,102.887681515197,0,646.605029119011,15.0,01/01/2021,15.0
16.0,2021-01-01 15:00:00,9302.25108206631,0,8165.74769764879,0,98.6827885705211,656.503096849969,0,41.9745806894235,0,267.120847538576,16.0,01/01/2021,16.0
17.0,2021-01-01 16:00:00,8597.73806961175,0,5461.90247588246,0,64.752093168739,40.3245347877883,0,-1.93418574480637,0,32.8664315279644,17.0,01/01/2021,17.0
18.0,2021-01-01 17:00:00,7330.12047707738,0,2479.11463069021,0,50.6244645213783,-42.2915852652414,0,-4.08226248824851,0,-27.1216450421014,18.0,01/01/2021,18.0
19.0,2021-01-01 18:00:00,5397.94252932112,0,2114.71164469507,0,34.1468497828127,-39.8327721684251,0,-3.92642761781387,0,-25.4021171143601,19.0,01/01/2021,19.0
20.0,2021-01-01 19:00:00,5761.60874868381,0,1909.40569132291,0,48.8841446330804,-50.7744904492579,0,-3.9936505030994,0,-25.7616547719788,20.0,01/01/2021,20.0
21.0,2021-01-01 20:00:00,8059.89863841828,0,1838.82548600104,0,46.2958344807393,-40.4474754426291,0,-3.99976167448899,0,-25.9023434206121,21.0,01/01/2021,21.0
22.0,2021-01-01 21:00:00,10152.5019389224,0,2426.67213055362,0,176.498365741547,-51.6350750331436,0,-4.11281834519648,0,-25.5897019792046,22.0,01/01/2021,22.0
23.0,2021-01-01 22:00:00,11206.1253889256,0,2781.42312265858,0,190.570570188644,-37.865721690972,0,-4.04559545991095,0,-24.6439616189469,23.0,01/01/2021,23.0
24.0,2021-01-01 23:00:00,10127.3948618748,0,4248.7674938117,0,380.653407414962,-38.1116030006536,0,-4.01809518865778,0,-25.6600463035213,24.0,01/01/2021,24.0
25.0,2021-01-02 00:00:00,9768.58056978343,0,6472.98905251899,0,190.404297587851,-48.4386180072823,0,-4.0914292453329,0,-24.9878672044952,25.0,01/02/2021,1.0
26.0,2021-01-02 01:00:00,10111.144198679,0,10919.2604713083,0,523.37072309544,-35.8986712135189,0,-4.03642870282656,0,-25.1989001774452,26.0,01/02/2021,2.0
27.0,2021-01-02 02:00:00,9577.82298754187,0,15599.9546917051,0,1020.42603590541,-36.1445525232005,0,-3.91726086072948,0,-25.3005086459027,27.0,01/02/2021,3.0
28.0,2021-01-02 03:00:00,8117.63437750525,0,18723.1790479993,0,751.723970604232,-48.8074399718048,0,-4.11587393089127,0,-24.7377540513692,28.0,01/02/2021,4.0
29.0,2021-01-02 04:00:00,7142.38382330885,0,22862.7583609285,0,438.58278153117,-35.8986712135189,0,-4.05476221699534,0,-24.98005116846,29.0,01/02/2021,5.0
30.0,2021-01-02 05:00:00,5778.92200590641,0,27560.0218375034,0,593.133163968069,-47.332152113715,0,-4.03948428852135,0,-23.6122448623021,30.0,01/02/2021,6.0
31.0,2021-01-02 06:00:00,3712.15027837733,0,31308.1323649037,0,467.541926169247,-36.0216118683597,0,-4.02726194574217,0,-23.8232778352522,31.0,01/02/2021,7.0
32.0,2021-01-02 07:00:00,3310.88491582491,0,30804.9819667374,0,598.731008194759,86.9190429724584,0,9.09342302771524,0,53.7352477419157,32.0,01/02/2021,8.0
33.0,2021-01-02 08:00:00,3182.3154294605,0,31947.1747937154,0,817.673226498679,2710.34967662068,0,202.91839040576,0,826.22535324366,33.0,01/02/2021,9.0
34.0,2021-01-02 09:00:00,3050.25958087578,0,35658.6479609743,0,773.383748067506,7143.34380887089,0,643.494124981424,0,2668.16022133204,34.0,01/02/2021,10.0
35.0,2021-01-02 10:00:00,3147.3727713379,0,37171.1556202052,0,559.557183447978,8213.17338729569,0,933.945878786028,0,5109.14735530134,35.0,01/02/2021,11.0
36.0,2021-01-02 11:00:00,2939.16581445708,0,35135.0675090738,0,280.767913698706,10376.191268565,0,905.571710024145,0,7081.00819040264,36.0,01/02/2021,12.0
37.0,2021-01-02 12:00:00,2503.37492780087,0,31021.4681463657,0,177.058150164216,10952.5370584588,0,1001.905160224,0,7201.84410750664,37.0,01/02/2021,13.0
38.0,2021-01-02 13:00:00,1683.68462642773,0,24516.5872973679,0,102.54585532894,10036.7521205495,0,990.960052265241,0,6396.7454996661,38.0,01/02/2021,14.0
39.0,2021-01-02 14:00:00,1159.89602534137,0,17963.768212049,0,118.895994406898,7942.58100599105,0,866.77493845731,0,4278.77950295903,39.0,01/02/2021,15.0
40.0,2021-01-02 15:00:00,1084.78555665009,0,14770.6473333334,0,158.851300377406,3499.50574004389,0,351.300687330787,0,1838.81626971034,40.0,01/02/2021,16.0
