,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2021-01-01 00:00:00,10500.1518520651,0,3914.91016996149,0,814.752958930003,-47.2960459194108,0,6.46644158275575,0,-22.1922434785258,1.0,01/01/2021,1.0
2.0,2021-01-01 01:00:00,12044.5670863423,0,4707.35969555264,0,859.762271054408,-35.261428637118,0,6.43029938480835,0,-23.1050941435602,2.0,01/01/2021,2.0
3.0,2021-01-01 02:00:00,13724.5172731298,0,5961.40850995474,0,883.113744785739,-47.6570844378796,0,6.4152401356636,0,-23.5116578851302,3.0,01/01/2021,3.0
4.0,2021-01-01 03:00:00,15716.3019322752,0,8716.35404783385,0,891.886884753363,-34.4190054273575,0,6.40018088651885,0,-22.583465192112,4.0,01/01/2021,4.0
5.0,2021-01-01 04:00:00,15309.895736689,0,11209.6439526731,0,790.094499728635,-34.4190054273575,0,6.33994388993985,0,-24.3861534802052,5.0,01/01/2021,5.0
6.0,2021-01-01 05:00:00,20618.1213096029,0,14962.1811282,0,640.608036593134,-48.9808923389318,0,6.3851216373741,0,-23.38892166126,6.0,01/01/2021,6.0
7.0,2021-01-01 06:00:00,23250.7418967427,0,18307.9784816265,0,277.189835103716,-35.9835056740556,0,6.5296904291637,0,-22.5067550521931,7.0,01/01/2021,7.0
8.0,2021-01-01 07:00:00,22238.9263804159,0,20834.9795878327,0,351.807813897255,9.86838617148013,0,52.5868980134678,0,27.9148199164727,8.0,01/01/2021,8.0
9.0,2021-01-01 08:00:00,22847.8857037364,0,24036.9529840254,0,358.800186161953,584.40101522814,0,279.903252003644,0,516.987987983148,9.0,01/01/2021,9.0
10.0,2021-01-01 09:00:00,19764.4882075002,0,26088.2559578583,0,548.149706133588,1514.31589263091,0,563.968880470896,0,1145.76566287005,10.0,01/01/2021,10.0
11.0,2021-01-01 10:00:00,15237.7512195401,0,27281.1047641713,0,418.769036145492,3049.81271167865,0,476.492714038871,0,1363.6301312536,11.0,01/01/2021,11.0
12.0,2021-01-01 11:00:00,13682.0899916888,0,22940.6694414411,0,472.987150060867,2512.10601150581,0,427.520035820143,0,1697.40362105454,12.0,01/01/2021,12.0
13.0,2021-01-01 12:00:00,10546.3450729825,0,18077.710497523,0,423.430617655291,2805.63032702093,0,330.035492406517,0,1603.44904168193,13.0,01/01/2021,13.0
14.0,2021-01-01 13:00:00,9567.65859532964,0,15322.2136082196,0,272.822325324675,1798.33286049302,0,232.81297992801,0,1105.75365388837,14.0,01/01/2021,14.0
