,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2021-01-01 00:00:00,6290.3166249007,0,1924.21338563376,0,467.722893401306,-22.8248915266747,0,4.21281988740492,0,-12.1230729679906,1.0,01/01/2021,1.0
2.0,2021-01-01 01:00:00,7215.52808477239,0,2313.70941961213,0,493.5612600695,-17.0170310873173,0,4.18927361882139,0,-12.6217406773549,2.0,01/01/2021,2.0
3.0,2021-01-01 02:00:00,8221.93434801859,0,2930.08563519575,0,506.966573593179,-22.9991273398555,0,4.17946267357824,0,-12.8438363798449,3.0,01/01/2021,3.0
4.0,2021-01-01 03:00:00,9415.15101108815,0,4284.16602287706,0,512.002944882043,-16.6104808565623,0,4.1696517283351,0,-12.3367877005753,4.0,01/01/2021,4.0
5.0,2021-01-01 04:00:00,9171.68561319911,0,5509.64032519149,0,453.567282478912,-16.6104808565623,0,4.13040794736254,0,-13.3215516644459,5.0,01/01/2021,5.0
6.0,2021-01-01 05:00:00,12351.6795828536,0,7354.04593087828,0,367.752017501064,-23.6379919881848,0,4.15984078309196,0,-12.7767886206026,6.0,01/01/2021,6.0
7.0,2021-01-01 06:00:00,13928.8012549639,0,8998.53527382138,0,159.125573310473,-17.3655027136788,0,4.25402585742612,0,-12.2948828510489,7.0,01/01/2021,7.0
8.0,2021-01-01 07:00:00,13322.6538341119,0,10240.5789333113,0,201.961302298687,4.7624455602731,0,34.2598207890498,0,15.2491747426608,8.0,01/01/2021,8.0
9.0,2021-01-01 08:00:00,13687.4625539609,0,11814.3775140991,0,205.975393381804,282.029702935197,0,182.354077045221,0,282.417733383245,9.0,01/01/2021,9.0
10.0,2021-01-01 09:00:00,11840.2943601088,0,12822.6112841931,0,314.674729020412,730.803079084347,0,367.419899355646,0,625.903403981327,10.0,01/01/2021,10.0
11.0,2021-01-01 10:00:00,9128.46606151918,0,13408.9071480819,0,240.401539026105,1471.82799254196,0,310.430080627286,0,744.917367121286,11.0,01/01/2021,11.0
12.0,2021-01-01 11:00:00,8196.51747428595,0,11275.5443415588,0,271.526376116067,1212.33278811147,0,278.52488669659,0,927.249557895652,12.0,01/01/2021,12.0
13.0,2021-01-01 12:00:00,6317.9895566438,0,8885.35649881534,0,243.077599748183,1353.9865042274,0,215.014713759639,0,875.924498195704,13.0,01/01/2021,13.0
14.0,2021-01-01 13:00:00,5731.68871950548,0,7531.00511697461,0,156.618329503105,867.868585453183,0,151.675251269918,0,604.045834468352,14.0,01/01/2021,14.0
15.0,2021-01-01 14:00:00,5546.90152766856,0,5985.19636150899,0,115.427002313738,526.831020454114,0,66.0708296454116,0,346.67043916209,15.0,01/01/2021,15.0
16.0,2021-01-01 15:00:00,5481.12657032891,0,3930.26700741007,0,55.6626882670524,310.139747461687,0,26.9545909610067,0,143.214013741461,16.0,01/01/2021,16.0
17.0,2021-01-01 16:00:00,5066.00930917997,0,2628.87562700881,0,36.5238521215374,19.0497822410924,0,-1.2420656677817,0,17.6209892258557,17.0,01/01/2021,17.0
18.0,2021-01-01 17:00:00,4319.09628714261,0,1193.22599734435,0,28.5550684993686,-19.9790399113896,0,-2.62148456896739,0,-14.5409827856645,18.0,01/01/2021,18.0
19.0,2021-01-01 18:00:00,3180.60714138436,0,1017.83470602748,0,19.260759472806,-18.8174678235181,0,-2.52141292748734,0,-13.6190760960835,19.0,01/01/2021,19.0
20.0,2021-01-01 19:00:00,3394.88866959668,0,919.0186214703,0,27.5734294027185,-23.9864636145462,0,-2.56458108655717,0,-13.811838403905,20.0,01/01/2021,20.0
21.0,2021-01-01 20:00:00,4749.10042649367,0,885.047567915382,0,26.1134757143886,-19.107860845486,0,-2.56850546465442,0,-13.8872671330525,21.0,01/01/2021,21.0
22.0,2021-01-01 21:00:00,5982.11633311261,0,1167.98482706765,0,99.555086091788,-24.3930138453013,0,-2.64110645945367,0,-13.7196477349468,22.0,01/01/2021,22.0
23.0,2021-01-01 22:00:00,6602.93847992261,0,1338.73050422316,0,107.492607322344,-17.8882101532209,0,-2.59793830038385,0,-13.2125990556773,23.0,01/01/2021,23.0
24.0,2021-01-01 23:00:00,5967.3225949201,0,2044.97999710335,0,214.710105598493,-18.0043673620081,0,-2.58027859894619,0,-13.7573620995206,24.0,01/01/2021,24.0
25.0,2021-01-02 00:00:00,5755.8999475582,0,3115.52306713655,0,107.398820147505,-22.8829701310683,0,-2.62737113611327,0,-13.3969803935935,25.0,01/02/2021,1.0
26.0,2021-01-02 01:00:00,5957.74728448805,0,5255.56394401665,0,295.210764002121,-16.9589524829237,0,-2.59205173323796,0,-13.5101234873148,26.0,01/02/2021,2.0
27.0,2021-01-02 02:00:00,5643.50065374301,0,7508.43517484069,0,575.578144466361,-17.0751096917109,0,-2.51552636034146,0,-13.5645997916991,27.0,01/02/2021,3.0
28.0,2021-01-02 03:00:00,4783.11981500246,0,9011.67849055288,0,424.014943687087,-23.057205944249,0,-2.6430686485023,0,-13.262884875109,28.0,01/02/2021,4.0
29.0,2021-01-02 04:00:00,4208.47700239989,0,11004.1049774559,0,247.385557312462,-16.9589524829237,0,-2.60382486752973,0,-13.3927899086408,29.0,01/02/2021,5.0
30.0,2021-01-02 05:00:00,3405.09008787109,0,13264.9511792569,0,334.560736325479,-22.3602626915262,0,-2.59401392228659,0,-12.6594550419287,30.0,01/02/2021,6.0
