,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2021-01-01 00:00:00,6816.54602829625,0,2173.05048367472,0,511.101651592393,-25.8837858257668,0,4.49452259932378,0,-13.3817192818075,1.0,01/01/2021,1.0
2.0,2021-01-01 01:00:00,7819.15795996862,0,2612.9157041047,0,539.336386442613,-19.2975807810424,0,4.46940183956976,0,-13.9321598606306,2.0,01/01/2021,2.0
3.0,2021-01-01 02:00:00,8909.75721365749,0,3309.00099454062,0,553.984969992249,-26.0813719771085,0,4.45893485633891,0,-14.1773140680055,3.0,01/01/2021,3.0
4.0,2021-01-01 03:00:00,10202.7948762365,0,4838.18952599666,0,559.488437365958,-18.8365464279117,0,4.44846787310807,0,-13.6176223870174,4.0,01/01/2021,4.0
5.0,2021-01-01 04:00:00,9938.96187863535,0,6222.1407786267,0,495.633184635128,-18.8365464279117,0,4.4065999401847,0,-14.7046268914159,5.0,01/01/2021,5.0
6.0,2021-01-01 05:00:00,13384.9847986972,0,8305.0628305435,0,401.859019887573,-26.8058545320282,0,4.43800088987723,0,-14.1033052506848,6.0,01/01/2021,6.0
7.0,2021-01-01 06:00:00,15094.0438351863,0,10162.215674797,0,173.883606034628,-19.6927530837259,0,4.53848392889332,0,-13.5713668761919,7.0,01/01/2021,7.0
8.0,2021-01-01 07:00:00,14437.1879023999,0,11564.8790151265,0,220.692116248508,5.40068813667398,0,36.5507054421021,0,16.8323803893873,8.0,01/01/2021,8.0
9.0,2021-01-01 08:00:00,14832.5154476828,0,13342.1994478399,0,225.078492479323,319.826116971815,0,194.547723915024,0,311.739015208233,9.0,01/01/2021,9.0
10.0,2021-01-01 09:00:00,12830.8185910327,0,14480.8168684013,0,343.859101159559,828.742180777667,0,391.988521995052,0,690.886186342418,10.0,01/01/2021,10.0
11.0,2021-01-01 10:00:00,9892.1267062718,0,15142.9318500931,0,262.697476166028,1669.07608243405,0,331.187909803734,0,822.256462637826,11.0,01/01/2021,11.0
12.0,2021-01-01 11:00:00,8882.21403896131,0,12733.6849790441,0,296.708972859167,1374.80444103576,0,297.149280337034,0,1023.51881579051,12.0,01/01/2021,12.0
13.0,2021-01-01 12:00:00,6846.53399618614,0,10034.4007486538,0,265.621726986572,1535.44198207659,0,229.392311090498,0,966.865066131482,13.0,01/01/2021,13.0
14.0,2021-01-01 13:00:00,6211.1849539835,0,8504.90617838024,0,171.143828980802,984.176619833162,0,161.817467352179,0,666.759311895854,14.0,01/01/2021,14.0
15.0,2021-01-01 14:00:00,6010.93900871428,0,6759.19518353295,0,126.132229901975,597.434659606947,0,70.4888518697859,0,382.662589956921,15.0,01/01/2021,15.0
16.0,2021-01-01 15:00:00,5939.6615117374,0,4438.52469023872,0,60.8251003034687,351.703349388281,0,28.7569897284167,0,158.082833797115,16.0,01/01/2021,16.0
17.0,2021-01-01 16:00:00,5489.81676043178,0,2968.83884887365,0,39.9112410472016,21.6027525466959,0,-1.32512007702466,0,19.4504423021087,17.0,01/01/2021,17.0
18.0,2021-01-01 17:00:00,4680.41918993478,0,1347.53263334585,0,31.2033960220097,-22.6565453538518,0,-2.79677791928112,0,-16.0506622564369,18.0,01/01/2021,18.0
19.0,2021-01-01 18:00:00,3446.68738793677,0,1149.45993866759,0,21.0470903100068,-21.3393043449069,0,-2.69001469032653,0,-15.0330410182767,19.0,01/01/2021,19.0
20.0,2021-01-01 19:00:00,3678.89507908714,0,1037.86506985261,0,30.1307152303619,-27.2010268347116,0,-2.73606941654223,0,-15.2458163680738,20.0,01/01/2021,20.0
21.0,2021-01-01 20:00:00,5146.39621192462,0,999.500918085661,0,28.5353587663507,-21.6686145971432,0,-2.74025620983457,0,-15.3290762875597,21.0,01/01/2021,21.0
22.0,2021-01-01 21:00:00,6482.56260580979,0,1319.02730348597,0,108.788279649759,-27.6620611878423,0,-2.81771188574281,0,-15.1440542442578,22.0,01/01/2021,22.0
23.0,2021-01-01 22:00:00,7155.32090900297,0,1511.85361843541,0,117.4619628663,-20.285511537751,0,-2.7716571595271,0,-14.5843625632696,23.0,01/01/2021,23.0
24.0,2021-01-01 23:00:00,6466.53126695466,0,2309.43449670835,0,234.623301816469,-20.4172356386455,0,-2.75281658971158,0,-15.1856842040007,24.0,01/01/2021,24.0
25.0,2021-01-02 00:00:00,6237.42162222523,0,3518.41898538244,0,117.359477440346,-25.949647876214,0,-2.80305810921963,0,-14.7878868109017,25.0,01/02/2021,1.0
26.0,2021-01-02 01:00:00,6456.15491419097,0,5935.20752729165,0,322.589959093319,-19.2317187305951,0,-2.76537696958859,0,-14.9127766901305,26.0,01/02/2021,2.0
27.0,2021-01-02 02:00:00,6115.61933379887,0,8479.41751686442,0,628.959891439047,-19.3634428314896,0,-2.68373450038802,0,-14.9729088542036,27.0,01/02/2021,3.0
28.0,2021-01-02 03:00:00,5183.2615625028,0,10177.0585574465,0,463.340026917145,-26.1472340275557,0,-2.81980528238897,0,-14.6398691762602,28.0,01/02/2021,4.0
29.0,2021-01-02 04:00:00,4560.54582090896,0,12427.1433834726,0,270.329224218707,-19.2317187305951,0,-2.7779373494656,0,-14.7832612598191,29.0,01/02/2021,5.0
30.0,2021-01-02 05:00:00,3689.94991803533,0,14980.3596582465,0,365.58942764259,-25.3568894221888,0,-2.76747036623476,0,-13.9737898203735,30.0,01/02/2021,6.0
31.0,2021-01-02 06:00:00,2370.27746722198,0,17017.6600664382,0,288.178769238961,-19.2975807810424,0,-2.75909677965009,0,-14.0986796996022,31.0,01/02/2021,7.0
32.0,2021-01-02 07:00:00,2114.0620190558,0,16744.1706631582,0,369.039770316361,46.5644696662013,0,6.22994841899747,0,31.8006636925083,32.0,01/02/2021,8.0
33.0,2021-01-02 08:00:00,2031.96799439389,0,17365.0141243167,0,503.989163031212,1451.99476415993,0,139.020377875404,0,488.962379384926,33.0,01/02/2021,9.0
34.0,2021-01-02 09:00:00,1947.64786216797,0,19382.4001494544,0,476.690461738035,3826.84857918665,0,440.860960096502,0,1579.02437304896,34.0,01/02/2021,10.0
35.0,2021-01-02 10:00:00,2009.65645283931,0,20204.5297128751,0,344.89420396169,4399.98014217856,0,639.850871694695,0,3023.60710388369,35.0,01/02/2021,11.0
36.0,2021-01-02 11:00:00,1876.71241194526,0,19097.8059090818,0,173.056890265269,5558.75705774736,0,620.411590438375,0,4190.55963319289,36.0,01/02/2021,12.0
37.0,2021-01-02 12:00:00,1598.45177010684,0,16861.8425884924,0,109.133313917136,5867.51835024404,0,686.410106502129,0,4262.07065292907,37.0,01/02/2021,13.0
38.0,2021-01-02 13:00:00,1075.06416299347,0,13326.0886900893,0,63.2061783664576,5376.91193646252,0,678.911559715554,0,3785.61113812026,38.0,01/02/2021,14.0
39.0,2021-01-02 14:00:00,740.61533262839,0,9764.27777236648,0,73.2839119185628,4255.01776914418,0,593.831733221973,0,2532.19318242502,39.0,01/02/2021,15.0
40.0,2021-01-02 15:00:00,692.655891835154,0,8028.64419858162,0,97.9111597752158,1874.76326598079,0,240.677812409993,0,1088.21639878209,40.0,01/02/2021,16.0
41.0,2021-01-02 16:00:00,986.132006910144,0,4943.46687922152,0,55.5026905156111,575.107424505332,0,30.1616588779958,0,221.998698655745,41.0,01/02/2021,17.0
42.0,2021-01-02 17:00:00,823.199998126202,0,3726.41608171438,0,24.0157514817964,-26.6082683806864,0,-2.7779373494656,0,-14.4826004394536,42.0,01/02/2021,18.0
43.0,2021-01-02 18:00:00,765.668855540138,0,2310.8335313027,0,24.4940168029133,-17.7168915703085,0,-2.61674580771063,0,-14.468723786206,43.0,01/02/2021,19.0
44.0,2021-01-02 19:00:00,760.498902960767,0,1103.5103962094,0,-2.13169685983513,-18.9682705288062,0,-2.72560243331139,0,-13.8674021454749,44.0,01/02/2021,20.0
45.0,2021-01-02 20:00:00,950.00962674061,0,1033.20890784329,0,121.991818693449,-25.3568894221888,0,-2.64395996411082,0,-13.6916312043381,45.0,01/02/2021,21.0
46.0,2021-01-02 21:00:00,1282.77065263022,0,2703.45947425781,0,249.938040634804,-19.2975807810424,0,-2.70257507020354,0,-14.0663008420244,46.0,01/02/2021,22.0
47.0,2021-01-02 22:00:00,1516.94090712416,0,3435.02340760984,0,387.073789103332,-25.5544755735305,0,-2.70257507020354,0,-13.631499040265,47.0,01/02/2021,23.0
48.0,2021-01-02 23:00:00,1421.34725032034,0,4534.35855995172,0,304.713084626144,-17.9144777216503,0,-2.71304205343438,0,-13.1596928298453,48.0,01/02/2021,24.0
49.0,2021-01-03 00:00:00,1833.01453726951,0,6401.65440501428,0,252.479679198453,903.298021883947,0,-2.71304205343438,0,-14.3160806004819,49.0,01/03/2021,1.0
50.0,2021-01-03 01:00:00,2068.55297878012,0,8668.17788752404,0,237.691032233347,-25.2910273717416,0,-2.8909807683587,0,-14.4455960307932,50.0,01/03/2021,2.0
51.0,2021-01-03 02:00:00,2061.14290032715,0,10848.9449213832,0,540.036703519963,-18.5730982261227,0,-2.66489393057251,0,-14.0616752909419,51.0,01/03/2021,3.0
52.0,2021-01-03 03:00:00,1410.76342657461,0,10111.0853323566,0,609.764371157935,-24.8958550690581,0,-2.71304205343438,0,-14.6074903186824,52.0,01/03/2021,4.0
53.0,2021-01-03 04:00:00,1164.81779201919,0,7256.24594300699,0,561.039383478723,-18.1779259234392,0,-2.75281658971158,0,-14.5519837056918,53.0,01/03/2021,5.0
54.0,2021-01-03 05:00:00,1255.00598864241,0,8568.0376144503,0,413.241734530154,-18.63896027657,0,-2.70466846684971,0,-13.7980188792367,54.0,01/03/2021,6.0
55.0,2021-01-03 06:00:00,1651.0821116578,0,10988.6516415784,0,373.798510261474,-25.3568894221888,0,-2.72141564001906,0,-14.3392083558947,55.0,01/03/2021,7.0
56.0,2021-01-03 07:00:00,1913.53290393272,0,12872.1675439692,0,491.325380564211,-12.974823938107,0,-1.93220510441353,0,8.30748974425381,56.0,01/03/2021,8.0
57.0,2021-01-03 08:00:00,1807.62177126551,0,15405.1633968717,0,449.364430997937,150.165475019716,0,24.3817907379246,0,255.02975893621,57.0,01/03/2021,9.0
58.0,2021-01-03 09:00:00,1727.96132514963,0,14604.172371775,0,316.867856144243,909.752502827777,0,96.7526061926159,0,587.842784876526,58.0,01/03/2021,10.0
59.0,2021-01-03 10:00:00,1887.17287456653,0,11434.1348603013,0,130.057421715999,2172.19628580054,0,148.442756179809,0,830.489943564759,59.0,01/03/2021,11.0
60.0,2021-01-03 11:00:00,2829.95746454085,0,6944.1082090581,0,55.5505170477228,2899.64263299035,0,166.048221974086,0,1164.50561278654,60.0,01/03/2021,12.0
61.0,2021-01-03 12:00:00,3521.0797533061,0,4101.02945426723,0,109.396359843751,2379.79346881025,0,118.040356687503,0,1458.95894359929,61.0,01/03/2021,13.0
62.0,2021-01-03 13:00:00,3773.47941759998,0,3863.58705170733,0,195.326973324989,2391.91208609255,0,83.9786998576957,0,1326.68668484279,62.0,01/03/2021,14.0
63.0,2021-01-03 14:00:00,3145.75913948002,0,4752.38935751501,0,296.411765123902,2334.48037810255,0,63.3273419432434,0,762.068791951728,63.0,01/03/2021,15.0
64.0,2021-01-03 15:00:00,2238.84179644057,0,5168.53656958764,0,401.565228333173,1297.08722150802,0,22.6714856780049,0,345.149370677467,64.0,01/03/2021,16.0
65.0,2021-01-03 16:00:00,1879.13757950554,0,4987.03369088622,0,378.328366088624,378.377479819415,0,-0.217713251201524,0,109.607058452026,65.0,01/03/2021,17.0
66.0,2021-01-03 17:00:00,1654.92873581121,0,5218.18043777154,0,420.384968719121,-20.9441320422235,0,-2.72560243331139,0,-15.0422921204418,66.0,01/03/2021,18.0
67.0,2021-01-03 18:00:00,1448.4250171379,0,5909.45654678939,0,492.838748687459,-26.3448201788975,0,-2.71932224337289,0,-15.0006621606988,67.0,01/03/2021,19.0
68.0,2021-01-03 19:00:00,1197.28700070775,0,5314.23290663991,0,546.230239428426,-20.2196494873038,0,-2.67536091380335,0,-14.6629969316729,68.0,01/03/2021,20.0
69.0,2021-01-03 20:00:00,1085.66761237264,0,5024.41414645401,0,523.673197176036,-25.949647876214,0,-2.56231749491025,0,-15.3845829005502,69.0,01/03/2021,21.0
70.0,2021-01-03 21:00:00,960.015896130944,0,4236.88882932797,0,473.383598660599,-19.2317187305951,0,-2.52254295863305,0,-14.2883272939867,70.0,01/03/2021,22.0
71.0,2021-01-03 22:00:00,999.014833429782,0,2407.56365755271,0,450.413198523529,-19.9562012855148,0,-2.53300994186389,0,-14.5889881143522,71.0,01/03/2021,23.0
