,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2021-01-01 00:00:00,9973.92244866955,0,3666.07307192053,0,771.374200738916,-44.2371516203188,0,6.1847388708369,0,-20.9335971647089,1.0,01/01/2021,1.0
2.0,2021-01-01 01:00:00,11440.937211146,0,4408.15341106008,0,813.987144681294,-32.9808789433929,0,6.15017116405998,0,-21.7946749602846,2.0,01/01/2021,2.0
3.0,2021-01-01 02:00:00,13036.6944074909,0,5582.49315060987,0,836.095348386669,-44.5748398006266,0,6.13576795290293,0,-22.1781801969695,3.0,01/01/2021,3.0
4.0,2021-01-01 03:00:00,14928.6580671268,0,8162.33054471425,0,844.401392269448,-32.1929398560081,0,6.12136474174588,0,-21.3026305056699,4.0,01/01/2021,4.0
5.0,2021-01-01 04:00:00,14542.6194712528,0,10497.1434992379,0,748.02859757242,-32.1929398560081,0,6.06375189711768,0,-23.0030782532353,5.0,01/01/2021,5.0
6.0,2021-01-01 05:00:00,19584.8160937592,0,14011.1642285348,0,606.501034206625,-45.8130297950884,0,6.10696153058883,0,-22.0624050311778,6.0,01/01/2021,6.0
7.0,2021-01-01 06:00:00,22085.4993165204,0,17144.2980806509,0,262.431802379561,-33.6562553040085,0,6.2452323576965,0,-21.2302710270501,7.0,01/01/2021,7.0
8.0,2021-01-01 07:00:00,21124.3923121279,0,19510.6795060176,0,333.076999947434,9.23014359507924,0,50.2960133604156,0,26.3316142697462,8.0,01/01/2021,8.0
9.0,2021-01-01 08:00:00,21702.8328100145,0,22509.1310502846,0,339.697087064435,546.604601191522,0,267.709605133841,0,487.66670615816,9.0,01/01/2021,9.0
10.0,2021-01-01 09:00:00,18773.9639765762,0,24430.0503736502,0,518.965333994441,1416.37679093759,0,539.40025783149,0,1080.78288050896,10.0,01/01/2021,10.0
11.0,2021-01-01 10:00:00,14474.0905747875,0,25547.0800621602,0,396.473099005569,2852.56462178656,0,455.734884862423,0,1286.29103573706,11.0,01/01/2021,11.0
12.0,2021-01-01 11:00:00,12996.3934270135,0,21482.5288039558,0,447.804553317767,2349.63435858151,0,408.895642179699,0,1601.13436315968,12.0,01/01/2021,12.0
13.0,2021-01-01 12:00:00,10017.8006334402,0,16928.6662476845,0,400.886490416903,2624.17484917174,0,315.657895075657,0,1512.50847374615,13.0,01/01/2021,13.0
14.0,2021-01-01 13:00:00,9088.16236085161,0,14348.312546814,0,258.296825846979,1682.02482611304,0,222.670763845748,0,1043.04017646087,14.0,01/01/2021,14.0
15.0,2021-01-01 14:00:00,8795.16389498855,0,11403.1881156767,0,190.363595431398,1021.05649452395,0,96.9969852160317,0,598.615494725903,15.0,01/01/2021,15.0
16.0,2021-01-01 15:00:00,8690.87116018833,0,7488.0707872106,0,91.7995725219661,601.084960947843,0,39.5713823328768,0,247.295754131038,16.0,01/01/2021,16.0
17.0,2021-01-01 16:00:00,8032.66146794266,0,5008.61818006268,0,60.2355746011868,36.920574380317,0,-1.82344653248242,0,30.427160759627,17.0,01/01/2021,17.0
18.0,2021-01-01 17:00:00,6848.35660668782,0,2273.37244935487,0,47.0933611578567,-38.7215780086251,0,-3.84853802116353,0,-25.1087390810715,18.0,01/01/2021,18.0
19.0,2021-01-01 18:00:00,5043.16886725124,0,1939.21133450826,0,31.7650753332116,-36.4703234732399,0,-3.70162526736163,0,-23.5168305514359,19.0,01/01/2021,19.0
20.0,2021-01-01 19:00:00,5382.93353602987,0,1750.94376014649,0,45.4744301962225,-46.488406155704,0,-3.76499939645264,0,-23.8496841530869,20.0,01/01/2021,20.0
21.0,2021-01-01 20:00:00,7530.17092451035,0,1686.22101910734,0,43.0666570781232,-37.0331371070862,0,-3.77076068091546,0,-23.9799312146026,21.0,01/01/2021,21.0
22.0,2021-01-01 21:00:00,9485.24024199283,0,2225.28216199586,0,164.187440997586,-47.2763452430888,0,-3.87734444347763,0,-23.6904933001234,22.0,01/01/2021,22.0
23.0,2021-01-01 22:00:00,10469.6154834851,0,2550.59230370891,0,177.278096130036,-34.6693198449318,0,-3.81397031438661,0,-22.8149436088238,23.0,01/01/2021,23.0
24.0,2021-01-01 23:00:00,9461.78329916202,0,3896.16149433836,0,354.102479124327,-34.8944452984703,0,-3.78804453430392,0,-23.7556168308812,24.0,01/01/2021,24.0
25.0,2021-01-02 00:00:00,9126.5516702274,0,5935.7944948578,0,177.123421197395,-44.3497143470881,0,-3.85717994785776,0,-23.1333253147509,25.0,01/02/2021,1.0
