,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2021-01-01 00:00:00,9272.28324414215,0,3334.29027453257,0,713.535856484133,-40.1586258881961,0,5.80913525494509,0,-19.2554020796197,1.0,01/01/2021,1.0
2.0,2021-01-01 01:00:00,10636.097377551,0,4009.21169840333,0,752.953642850477,-29.9401460184261,0,5.77666686972882,0,-20.0474493825837,2.0,01/01/2021,2.0
3.0,2021-01-01 02:00:00,12119.5972533057,0,5077.27267148337,0,773.404153187909,-40.4651802842892,0,5.76313837588871,0,-20.4002099460886,3.0,01/01/2021,3.0
4.0,2021-01-01 03:00:00,13878.466246929,0,7423.63254055479,0,781.087402290895,-29.2248524275422,0,5.74960988204859,0,-19.5948509237471,4.0,01/01/2021,4.0
5.0,2021-01-01 04:00:00,13519.5844506711,0,9547.14289465765,0,691.9407280308,-29.2248524275422,0,5.69549590668813,0,-21.1589779506087,5.0,01/01/2021,5.0
6.0,2021-01-01 05:00:00,18207.0758059677,0,12743.1416956479,0,561.025031024614,-41.5892130699639,0,5.73608138820848,0,-20.2937161910683,6.0,01/01/2021,6.0
7.0,2021-01-01 06:00:00,20531.8425428906,0,15592.7242126834,0,242.75442541402,-30.5532548106123,0,5.86595492907357,0,-19.5282923268594,7.0,01/01/2021,7.0
8.0,2021-01-01 07:00:00,19638.3468877439,0,17744.9460635973,0,308.102581347672,8.37915349321141,0,47.2415004896793,0,24.2206734074442,8.0,01/01/2021,8.0
9.0,2021-01-01 08:00:00,20176.0956183852,0,20472.0351386302,0,314.226288267743,496.209382476032,0,251.451409307437,0,448.571663724843,9.0,01/01/2021,9.0
10.0,2021-01-01 09:00:00,17453.265002011,0,22219.109594706,0,480.052837808912,1285.79132201316,0,506.642094312282,0,994.139170694171,10.0,01/01/2021,10.0
11.0,2021-01-01 10:00:00,13455.876381784,0,23235.0471261453,0,366.745182819004,2589.56716859712,0,428.057779293826,0,1183.17224171501,11.0,01/01/2021,11.0
12.0,2021-01-01 11:00:00,12082.1313407796,0,19538.3412873088,0,414.227757660301,2133.00548801579,0,384.063117325774,0,1472.7753526332,12.0,01/01/2021,12.0
13.0,2021-01-01 12:00:00,9313.07471405038,0,15396.6072478999,0,370.827654099051,2382.23421203948,0,296.487765301178,0,1391.25438316511,13.0,01/01/2021,13.0
14.0,2021-01-01 13:00:00,8448.83404821426,0,13049.7777982732,0,238.929493210051,1526.94744693973,0,209.1478090694,0,959.422206557532,14.0,01/01/2021,14.0
15.0,2021-01-01 14:00:00,8176.44725359427,0,10371.1896863114,0,176.089958647082,926.918308986838,0,91.1062889168659,0,550.625960332796,15.0,01/01/2021,15.0
16.0,2021-01-01 15:00:00,8079.49123831034,0,6810.3938767724,0,84.9163564734112,545.666825045719,0,37.1681839763301,0,227.470660723499,16.0,01/01/2021,16.0
17.0,2021-01-01 16:00:00,7467.58486627358,0,4555.33388424289,0,55.7190560336345,33.5166139728456,0,-1.71270732015847,0,27.9878899912896,17.0,01/01/2021,17.0
18.0,2021-01-01 17:00:00,6366.59273629826,0,2067.63026801953,0,43.5622577943352,-35.1515707520088,0,-3.61481355407855,0,-23.0958331200416,18.0,01/01/2021,18.0
19.0,2021-01-01 18:00:00,4688.39520518136,0,1763.71102432144,0,29.3833008836106,-33.1078747780548,0,-3.47682291690938,0,-21.6315439885116,19.0,01/01/2021,19.0
20.0,2021-01-01 19:00:00,5004.25832337593,0,1592.48182897008,0,42.0647157593646,-42.2023218621501,0,-3.53634828980589,0,-21.9377135341951,20.0,01/01/2021,20.0
21.0,2021-01-01 20:00:00,7000.44321060241,0,1533.61655221363,0,39.8374796755071,-33.6187987715433,0,-3.54175968734193,0,-22.0575190085931,21.0,01/01/2021,21.0
22.0,2021-01-01 21:00:00,8817.97854506327,0,2023.89219343811,0,151.876516253624,-42.917615453034,0,-3.64187054175878,0,-21.7912846210421,22.0,01/01/2021,22.0
23.0,2021-01-01 22:00:00,9733.10557804463,0,2319.76148475925,0,163.985622071428,-31.4729179988916,0,-3.58234516886228,0,-20.9859255987006,23.0,01/01/2021,23.0
24.0,2021-01-01 23:00:00,8796.17173644928,0,3543.55549486503,0,327.551550833692,-31.677287596287,0,-3.55799387995007,0,-21.8511873582411,24.0,01/01/2021,24.0
