,datetime,windTCR1,windTCR2,windTCR3,windTCR4,windTCR5,solarTCR1,solarTCR2,solarTCR3,solarTCR4,solarTCR5,hour,date,hour.ending
1.0,2021-01-01 00:00:00,6114.90682376885,0,1841.26768628677,0,453.26330733761,-21.8052600936441,0,4.11891898343197,0,-11.7035241967183,1.0,01/01/2021,1.0
2.0,2021-01-01 01:00:00,7014.31812637364,0,2213.97399144795,0,478.302884611795,-16.2568478560756,0,4.09589754523859,0,-12.1849342829297,2.0,01/01/2021,2.0
3.0,2021-01-01 02:00:00,7992.66005947228,0,2803.78051541412,0,491.293774793489,-21.9717124607711,0,4.08630527932469,0,-12.3993438171246,3.0,01/01/2021,3.0
4.0,2021-01-01 03:00:00,9152.60305603869,0,4099.49152183719,0,496.174447387405,-15.8684589994458,0,4.07671301341078,0,-11.9098428050946,4.0,01/01/2021,4.0
5.0,2021-01-01 04:00:00,8915.92685805369,0,5272.14017404642,0,439.545315093507,-15.8684589994458,0,4.03834394975515,0,-12.8605265887893,5.0,01/01/2021,5.0
6.0,2021-01-01 05:00:00,12007.2445109057,0,7037.04029765654,0,356.383016705561,-22.5820378069037,0,4.06712074749687,0,-12.3346164105752,6.0,01/01/2021,6.0
7.0,2021-01-01 06:00:00,13540.3870615565,0,8610.6418068295,0,154.206229069088,-16.5897525903297,0,4.15920650027039,0,-11.8693881760012,7.0,01/01/2021,7.0
8.0,2021-01-01 07:00:00,12951.1424780159,0,9799.14557270625,0,195.717697648747,4.54969803480614,0,33.4961925713657,0,14.7214395270853,8.0,01/01/2021,8.0
9.0,2021-01-01 08:00:00,13305.7782560536,0,11305.1035361855,0,199.607693682631,269.430898256325,0,178.28952808862,0,272.643972774915,9.0,01/01/2021,9.0
10.0,2021-01-01 09:00:00,11510.1196164675,0,12269.8760894571,0,304.946604974029,698.15671185324,0,359.230358475844,0,604.242476527631,10.0,01/01/2021,10.0
11.0,2021-01-01 10:00:00,8873.91251326831,0,12830.8989140782,0,232.969559979464,1406.0786292446,0,303.510804235137,0,719.137668615773,11.0,01/01/2021,11.0
12.0,2021-01-01 11:00:00,7967.9519527275,0,10789.497462397,0,263.1321772017,1158.17557047004,0,272.316755483109,0,895.159805264031,12.0,01/01/2021,12.0
13.0,2021-01-01 12:00:00,6141.80807679636,0,8502.34174886918,0,235.56289066872,1293.50134494434,0,210.222181316019,0,845.610975550445,13.0,01/01/2021,13.0
14.0,2021-01-01 13:00:00,5571.85664134614,0,7206.3714298394,0,151.776496343873,829.099240659856,0,148.294512575831,0,583.141341992517,14.0,01/01/2021,14.0
15.0,2021-01-01 14:00:00,5392.22236731999,0,5727.19675416767,0,111.858593117659,503.296474069836,0,64.5981555706201,0,334.673055563813,15.0,01/01/2021,15.0
16.0,2021-01-01 15:00:00,5328.28158985941,0,3760.84777980052,0,53.9418842549137,296.285213486156,0,26.3537913718701,0,138.257740389576,16.0,01/01/2021,16.0
17.0,2021-01-01 16:00:00,4924.74015876269,0,2515.55455305386,0,35.3947224796493,18.1987921392246,0,-1.21438086470072,0,17.0111715337713,17.0,01/01/2021,17.0
18.0,2021-01-01 17:00:00,4198.65531954521,0,1141.79045201052,0,27.6722926584882,-19.0865380972355,0,-2.56305345219614,0,-14.037756295407,18.0,01/01/2021,18.0
