"","date","hour.ending","hour","solarTCR1","solarTCR2","solarTCR3","solarTCR4","solarTCR5","windTCR1","windTCR2","windTCR3","windTCR4","windTCR5"
"2767",2019-04-26,7,2767,-12.227066835819,19.6373332564521,58.8922454726576,50.6452814032082,37.9992215770492,48231.1607268168,0,1975.17451528851,53295.3349013726,2194.24081894695
"2768",2019-04-26,8,2768,543.060700195764,375.258381824525,1125.39765198623,967.802812032599,480.767761042153,52254.3452853026,0,1972.55389455663,53224.6237523201,2216.25387368418
"2769",2019-04-26,9,2769,2324.63380451729,984.155868206187,2951.47758694333,2538.16800066499,1451.44379179628,54472.1148211213,0,2152.72657105824,58086.1501946192,2348.75454559962
"2770",2019-04-26,10,2770,4084.4367654482,1487.74990694302,4461.75310961962,3836.95238608683,3250.84011278875,56058.787602772,0,2099.46395503808,56648.9865736098,2979.64613471113
"2771",2019-04-26,11,2771,6709.67748144124,1771.22205386387,5311.88438982485,4568.03569884068,5185.77273948696,57899.637474587,0,2168.30025991146,58506.3687407059,2937.69334783401
"2772",2019-04-26,12,2772,11117.9824074675,2903.00831007257,8706.10463107492,7486.94697286206,5075.68422311775,58275.7506697003,0,2209.61337885392,59621.103916163,3095.73940187475
"2773",2019-04-26,13,2773,13781.693650822,2617.9165892749,7851.11625845958,6751.68672968321,6549.56729301121,60144.0204837893,0,2352.93065895573,63488.1761070293,3362.78847172769
"2774",2019-04-26,14,2774,13541.3274100983,2131.45265885059,6392.21382858259,5497.08141606432,5709.92438234981,60864.2370285507,0,2795.45214322963,75428.5542978571,3136.94988806887
"2775",2019-04-26,15,2775,8555.66635250756,3194.56275355179,9580.47467051908,8238.87477494839,5612.34897323718,61219.7802887554,0,2982.97656109741,80488.4498033378,1927.26853881984
"2776",2019-04-26,16,2776,8519.28337314244,2630.73302485781,7889.55267243579,6784.74070795033,4198.21455330703,62901.7956147836,0,2785.78985457696,75167.8406719613,2205.77207610872
"2777",2019-04-26,17,2777,7889.4403205266,2719.76286960574,8156.55264655726,7014.35139294806,1914.98447255716,63395.3645321213,0,2828.51997582355,76320.8102473514,3507.38352546096
"2778",2019-04-26,18,2778,7072.01616938075,889.364077934954,2667.19757251663,2293.69708242444,682.567963981086,62743.0606330574,0,2764.98492662918,74606.4697176515,3370.92818266541
"2779",2019-04-26,19,2779,3793.37293052725,177.608077549434,532.64556670552,458.05664901157,508.630024366928,62354.302802255,0,2785.48311525465,75159.564048917,3584.99234169734
"2780",2019-04-26,20,2780,1129.06524488806,-11.6017551753028,-34.7935946686201,-29.9212804483665,90.1786872120997,58396.0937496805,0,2989.42808923506,80662.5287771502,2730.30989494908
"2781",2019-04-26,21,2781,14.0163936898412,-18.2357789399725,-54.6889924254418,-47.0306300738753,-15.713243415623,46776.0618511758,0,3138.89349227529,84695.4932820786,2595.92787475086
"2782",2019-04-26,22,2782,-12.525287978156,-18.2980702429272,-54.8758036719847,-47.1912812440679,-15.6365934477419,37541.7939278465,0,2998.36020493572,80903.5404416687,3310.86581878063
"2783",2019-04-26,23,2783,-12.525287978156,-18.0333322053699,-54.0818558741773,-46.5085137707495,-13.739506742685,34387.5347949515,0,2769.71271314039,74734.0376684867,3581.66478691148
"2784",2019-04-26,24,2784,-12.227066835819,-18.2046332884952,-54.5955868021703,-46.950304488779,-12.0723699412713,33863.3200597782,0,3062.48205979016,82633.7145111056,3750.79415804666
"2785",2019-04-27,1,2785,-12.525287978156,-17.8153126450287,-53.428016511277,-45.9462346750755,-14.7167938331688,33947.0932603204,0,3213.76455990275,86715.7090112421,3367.12709123694
"2786",2019-04-27,2,2786,-12.227066835819,-18.4537985003138,-55.342831788342,-47.5929091695493,-15.1958561324256,31820.1361041245,0,3169.81748373614,85529.9028335566,3319.78622526426
"2787",2019-04-27,3,2787,285.695854358892,-18.6406724091777,-55.9032655279708,-48.074862680127,-14.0461066142093,29161.3176929054,0,3223.38350495553,86975.2531143164,3026.39827945247
"2788",2019-04-27,4,2788,-12.525287978156,-18.1734876370179,-54.5021811788988,-46.8699789036828,-15.4066435440986,24921.5912591411,0,3292.56655862804,88841.9914639843,2665.65294580228
"2789",2019-04-27,5,2789,-12.227066835819,-18.6250995834391,-55.8565627163351,-48.0346998875789,-14.9084187528716,19581.6122615167,0,3142.75774091175,84799.7607397781,3068.93978756093
"2790",2019-04-27,6,2790,-12.525287978156,-18.4226528488365,-55.2494261650706,-47.512583584453,-14.8126062930202,14934.2606074768,0,3100.24767178768,83652.7287417894,2322.36447649022
"2791",2019-04-27,7,2791,472.382289461883,193.772670666164,581.123085183409,499.745627676542,262.200377629231,13055.3374389095,0,3105.13549620618,83784.6149307346,1992.64219207436
"2792",2019-04-27,8,2792,2325.5284679443,2186.26900545068,6556.60772554037,5638.45444583378,4282.20375561273,16238.5398442049,0,3241.0510230958,87451.9686090099,2284.1231930281
"2793",2019-04-27,9,2793,9024.17176711906,5476.1063068716,16422.8101976469,14123.0451855917,9080.5683949367,20399.441411236,0,3312.47127334731,89379.0723289249,1737.61071431343
"2794",2019-04-27,10,2794,13235.6507392028,7727.79675325039,23175.6164348689,19930.2235229202,10079.2408264594,24742.6248603122,0,3243.04149456773,87505.676695504,2169.0153940126
"2795",2019-04-27,11,2795,16577.5168602318,9298.48753007753,27886.1087192605,23981.0829421185,10381.4716498145,30093.5061225662,0,3171.78795046965,85583.0711402869,2389.86264549264
"2796",2019-04-27,12,2796,17069.5817450879,9400.13136367377,28190.9379708069,24243.2254890802,10524.9987146719,32044.5435401859,0,3129.03449036158,84429.4718218391,2312.02346007878
"2797",2019-04-27,13,2797,16828.3208409373,9278.77233269238,27826.9829597296,23930.2368467525,10626.4832721464,33174.9441015789,0,3175.14541239969,85673.6641773045,2638.6613571739
"2798",2019-04-27,14,2798,16569.763110531,9373.05021971424,28109.7217813723,24173.382392839,10615.0815894241,37263.7612887758,0,3239.95743072932,87422.460648591,3153.0245373421
"2799",2019-04-27,15,2799,17173.0644814789,9880.00798881062,29630.085111362,25480.8419414512,10603.7565566697,44423.4925337858,0,3193.85984518348,86178.6281463015,3346.21468923658
"2800",2019-04-27,16,2800,15966.7599607255,9281.1549750304,27834.1284899099,23936.3817540124,10500.9497872492,49089.7613593291,0,3115.01116873524,84051.0862074438,3273.86596921939
"2801",2019-04-27,17,2801,12631.7529259703,7633.55001188002,22892.9710188495,19687.1583024189,10259.2149510442,49611.1883008072,0,3107.46938235417,83847.5892365065,3097.73593474626
"2802",2019-04-27,18,2802,8405.36289676969,5396.88734233903,16185.2329948559,13918.7370598993,9467.26748289679,48100.2041179825,0,2985.30044487619,80551.1542192278,3308.12698522611
"2803",2019-04-27,19,2803,2643.73042681793,2195.02093351581,6582.85470567965,5661.02593524584,5419.45932906443,42530.8992197057,0,2628.32922441834,70919.1441881171,2663.92517697116
"2804",2019-04-27,20,2804,266.907922391658,195.236516285598,585.513149477168,503.520930176068,548.737120060707,39036.3998227117,0,1431.19233191543,38617.2837120511,1648.21467516252
"2805",2019-04-27,21,2805,-12.227066835819,-15.82199095048,-47.4500566219034,-40.8053972289132,-17.7253050725015,42412.477726094,0,1222.3295264089,32981.6231252271,1446.0657219215
"2806",2019-04-27,22,2806,-10.4377399817967,-17.3169822213915,-51.9335265389336,-44.6610253135349,-14.7742813090797,53170.1355141918,0,973.980701401484,26280.5272480359,1877.2784273061
"2807",2019-04-27,23,2807,-12.227066835819,-17.8308854707673,-53.4747193229127,-45.9863974676236,-16.0006807951771,53420.5590392735,0,926.836201212123,25008.446271443,1541.5665442757
"2808",2019-04-27,24,2808,-12.525287978156,-17.9243224251993,-53.7549361927271,-46.2273742229125,-15.5982684638014,53601.9548011797,0,770.972616003338,20802.8422054055,1590.05925613579
"2809",2019-04-28,1,2809,-12.525287978156,-18.0800506825859,-54.2219643090845,-46.6290021483939,-17.6486551046205,51396.0931270022,0,493.090128854662,13304.8514703176,2626.69495823244
"2810",2019-04-28,2,2810,-12.525287978156,-18.0021865538926,-53.9884502509058,-46.4281881856532,-14.9275812448418,47436.9481722586,0,182.219828065709,4916.76390479044,1716.58312772432
"2811",2019-04-28,3,2811,-12.227066835819,-18.0177593796313,-54.0351530625415,-46.4683509782013,-18.5876172111638,42668.0188438878,0,347.428960235653,9374.53508379747,1584.26163183581
"2812",2019-04-28,4,2812,-12.525287978156,-17.7218756905967,-53.1477996414626,-45.7052579197866,-14.4676814375553,39452.2888600125,0,519.516388296026,14017.9005382438,1682.00215452665
"2813",2019-04-28,5,2813,-12.525287978156,-18.2357789399725,-54.6889924254418,-47.0306300738753,-16.2306306988203,41166.0750777605,0,634.010174470187,17107.2400528268,1490.66775433967
"2814",2019-04-28,6,2814,-12.227066835819,-18.3136430686658,-54.9225064836204,-47.231444036616,-16.0773307630581,37825.7406721137,0,499.058209147375,13465.8857665058,1733.50246398166
"2815",2019-04-28,7,2815,299.414026906396,80.6360916747889,241.827158649819,207.962939814284,95.0842851564893,32247.5148340121,0,589.57965045863,15908.3891975171,1957.31891819369
"2816",2019-04-28,8,2816,572.584593287131,750.719210383652,2251.40244052372,1936.12774036832,1073.78940004616,28333.4624422892,0,665.160886299692,17947.7671082941,1634.64849026632
"2817",2019-04-28,9,2817,2188.04852132692,1701.31563912302,5102.23546839205,4387.74492309206,3650.83797017621,22150.7831926214,0,554.131253993758,14951.8994561355,1517.26259605128
"2818",2019-04-28,10,2818,8105.94886986329,2301.81937243155,6903.1425878775,5936.462366541,5379.42888333853,19569.3360128515,0,359.285101867433,9694.44455711888,1380.97363099501
"2819",2019-04-28,11,2819,11010.6227962261,2730.41468241099,8188.4973697161,7041.82274305099,7073.29736105072,18117.4928819903,0,258.644597043116,6978.90252893928,1683.51235246792
"2820",2019-04-28,12,2820,14770.2967376693,3658.50837795799,10971.8448347708,9435.40469054266,8214.57705781617,17718.2708684247,0,409.196924203694,11041.1950676986,1676.37090796596
"2821",2019-04-28,13,2821,17901.6187322083,4620.34838688068,13856.3972926401,11916.0194094862,10047.8143396281,18544.6326581327,0,864.854853367695,23336.0286367284,2975.34591006479
